item_name,total_revenue,revenue_rank,dense_rank,row_number
Google See-No Hear-No Set,554.0,127,123,127
Google Super G Tumbler (Blue Lid),552.0,128,124,128
Google Mural Sticky Note Pad,552.0,128,124,129
Android Pocket Toddler Tee Navy,537.0,130,125,130
Android Garden Tee Orange,536.0,131,126,131
Google Tudes Recycled Tee,528.0,132,127,132
Google Mural Bottle,523.0,133,128,133
Google Clear Pen 4-Pack,516.0,134,129,134
Google Campus Bike Tote Navy,514.0,135,130,135
Mural Food Container,503.0,136,131,136
Google Youth Hero Tee Maroon,500.0,137,132,138
Android Super Hero 3D Framed Art,500.0,137,132,137
Google Utensil Set,498.0,139,133,139
Google Sunglasses,472.0,140,134,140
Google Felt Refillable Journal,468.0,141,135,141
Essential Canvas Tote,464.0,142,136,142
Google Seattle Campus Mug,461.0,143,137,143
Google Keychain,460.0,144,138,144
Google Sunnyvale Campus Mug,458.0,145,139,145
Flamingo and Friends Tee Blue,456.0,146,140,146
Android Iconic Mug Gray,452.0,147,141,147
Supernatural Paper Backpack,450.0,148,142,148
Google Chicago Campus Mug,446.0,149,143,150
Stan and Friends Toddler Tee Green,446.0,149,143,149
YouTube 25 oz Gear Cap Bottle Black,438.0,151,144,151
Google Youth Badge Tee Olive,436.0,152,145,152
Mommy Works at Google Book,436.0,152,145,153
Google Mens Microfleece Jacket Black,431.0,154,146,154
White Google Shoreline Bottle,430.0,155,147,155
Google PNW Campus Mug,425.0,156,148,156
Google NYC Campus Bottle,419.0,157,149,157
Google Premium Sunglasses,418.0,158,150,158
Google LA Campus Mug,409.0,159,151,159
Google Small Standard Journal Navy,407.0,160,152,160
Google SF Campus Bottle,406.0,161,153,161
Google NYC Campus Ladies Tee,400.0,162,154,162
Google Infant Hero Onesie Grey,382.0,163,155,164
Stan and Friends Onesie Green,382.0,163,155,163
Android Iconic Hat Green,378.0,165,156,165
Supernatural Paper Tote,376.0,166,157,166
Google Utility Bag Grey,374.0,167,158,167
#IamRemarkable Water Bottle,372.0,168,159,168
Google Cork Passport Holder,364.0,169,160,169
Google Youth Badge Tee Navy,362.0,170,161,171
Google Cork Card Holder,362.0,170,161,170
Google Toddler Hero Tee Olive,361.0,172,162,172
Google Incognito Flap Pack,360.0,173,163,173
Google Twill Cap Charcoal,356.0,174,164,174
Google ApPeel Journal Red,346.0,175,165,175
Google Laptop and Cell Phone Stickers,341.0,176,166,176
Google Mountain View Campus Ladies Tee,340.0,177,167,177
Google Beekeepers Onesie Pink,340.0,177,167,178
Google Cambridge Campus Mug,338.0,179,168,179
Google Tee Yellow,336.0,180,169,180
Google Toddler Hero Tee Black,333.0,181,170,181
Google Bot (Multicolored),332.0,182,171,182
Android Iconic Hat White,327.0,183,172,183
Google Bot,324.0,184,173,184
#IamRemarkable Ladies T-Shirt,322.0,185,174,185
